code,profitscore,stablescore,profit2018,profit2019,profit2020,expectedprofit2020,survive2018,survive2019,survive2020,expectedsurvive2020
11470670,9.207596441,10.683201,61517015,50649019,28457197,38221276.56,100,100,100,99.75653
11470680,9.612397939,10.81084,70766365,51433708,68970693,44776725.08,90.9,90.9,77.8,99.88359
11470,0,0,55469147.52,43314414.81,46736685.85,51655586.98,96.18227848,95.88924051,96.53018868,99.45427
11500510,9.794291279,9.71943,94534858,67360478,39713576,47722347.65,92,96.3,100,98.797134
11500520,10.58932656,9.4743595,77676754,52050277,65938426,60597331.8,100,97.1,94.4,98.55318
11500530,9.695375411,10.924232,59102792,51912639,37957485,46120481.34,100,100,88.9,99.99647
11500535,10.24213347,9.9082985,65367007,52429802,49882757,54974807.1,100,89.3,96.3,98.985146
11500540,11.36571342,8.270493,79815032,68396263,76108776,73170319.04,98.3,96.6,98.3,97.354774
11500550,8.763101304,10.7023,26794756,30963443,25063119,31023020.12,100,90.9,100,99.77554
11500560,10.20364915,10.64104,65083674,46016365,59049010,54351583.06,100,100,100,99.71456
11500570,10.30615399,10.495857,65061840,52514098,51800332,56011570.12,100,94.1,100,99.57004
11500590,9.853149524,9.9401655,56136461,42786511,47558069,48675511.6,100,100,96.4,99.01687
11500591,10.49503138,9.765514,55462279,55735798,58238352,59070293.88,100,96.9,96.8,98.84301
11500593,9.9609424,10.278302,52992063,39486329,46124899,50421134.22,100,100,100,99.35347
11500603,9.934118699,6.9073105,47943923,41907841,46038461,49986745.04,94.3,90.2,98.8,95.99778
11500604,15.40395614,10.755911,244000000,126000000,175000000,138566550.1,100,100,100,99.82891
11500605,9.124870569,10.820888,38690104,0,14089936,36881594.77,100,100,100,99.89359
11500611,8.842923764,9.218859,46830484,26393159,16229005,32315683.38,95.8,97.1,93,98.298836
11500615,11.17227708,10.034374,66505203,30573851,81566284,70037766.56,96.7,96.3,95.8,99.11065
11500620,9.692097309,8.560314,66673375,47852661,35160226,46067395,100,91.1,100,97.64328
11500630,10.27850997,9.365513,80479599,66814701,70175375,55563896.44,97.2,93.7,100,98.444824
11500640,8.943543753,9.746837,34351188,32169598,26554631,33945146.62,96.3,96.3,96.3,98.82442
11500641,9.248336963,10.080573,39912508,37350437,38141793,38881037.94,100,100,100,99.15664
11500,0,0,63234614.16,48316185.07,50495777.03,47835309.9,97.81313869,95.15788531,97.71573427,98.857956
11530510,10.26258328,9.234869,77388531,54291421,37987060,55305976.03,96.8,96.8,100,98.31477
11530520,8.937772985,10.758309,26746919,13458139,28308939,33851693.48,90.9,100,100,99.8313
11530530,9.683937533,10.713389,61497659,39807228,43460413,45935253.72,100,100,100,99.78658
11530540,10.75426827,7.882026,73845419,62954825,56430632,63268435.8,97.2,97.2,97.1,96.96807
11530550,9.584323834,10.86475,68968475,41306153,43654492,44322086.57,100,100,100,99.937256
11530560,10.82019608,10.153046,79571562,67861080,68505761,64336085.92,100,100,100,99.22878
11530595,10.95181145,11.349509,66118298,60110278,70971252,66467495.36,94.1,85.7,100,100.419815
11530720,9.754826716,10.530982,124000000,73790030,47080460,47083249.45,91.7,93.3,92.9,99.605
11530730,9.078054089,10.106709,35462568,30915532,31038094,36123437.92,95.7,100,100,99.182655
11530740,9.209303926,10.14778,52201673,39389970,33739626,38248927.96,95.2,95.2,95.5,99.22354
11530750,9.127183084,10.680579,73556473,46919192,30960256,36919044.16,100,100,91.7,99.75392
11530760,11.66766134,10.822911,54569392,38370648,104000000,78060133.06,100,100,77.8,99.89561
11530770,11.74346113,10.146624,103000000,98688549,90794113,79287652.28,100,95.7,100,99.22239
